"Repository","Average Project MI","Total Project SLOC","Total Project Comments","Total Project Comment-to-SLOC Ratio","Total Modules in Project","Total Refactor Msgs","Total Convention Msgs","Repo Commit Count","Repo Contributer Count","Repo Release Count"
"ansible","46.82","5818380","348319","5.98%","2894","10429","54321","41785","394","252"
"astropy","40.20","780617","151340","19.38%","355","1965","9892","23638","274","80"
"autobahn-python","46.86","182842","35864","19.61%","49","541","2752","2995","91","105"
"aws-cli","61.73","126303","20070","15.89%","186","585","1378","6512","183","686"
"beets","43.66","186165","29132","15.64%","85","471","936","8359","298","52"
"biopython","43.54","615445","105803","17.19%","307","1930","5002","12670","211","56"
"boto","58.00","237761","35457","14.91%","258","1398","3864","7144","347","89"
"buildbot","56.60","318794","57030","17.88%","313","1129","7691","18139","337","118"
"celery","41.73","302080","18136","6.00%","247","1626","7263","10717","403","176"
"cobbler","58.76","77348","9295","12.01%","66","221","4511","6855","181","94"
"conda","44.82","260363","42755","16.42%","160","660","3291","13283","207","223"
"cython","31.02","1183863","150879","12.74%","114","1718","8322","14562","267","141"
"django","57.28","485681","63020","12.97%","663","1720","5671","26430","402","202"
"django-rest-framework","50.68","77488","7249","9.35%","60","241","504","7879","396","110"
"electrum","39.41","425576","38900","9.14%","165","722","9860","9929","225","125"
"fail2ban","48.41","84340","25958","30.77%","42","157","2494","4864","168","222"
"luigi","53.56","68973","10215","14.81%","57","299","1136","3722","364","44"
"matplotlib","28.85","943406","104780","11.10%","173","1926","12142","28144","433","76"
"mitmproxy","56.21","148319","8312","5.60%","202","488","3357","7984","249","52"
"mongo-python-driver","43.62","117448","14612","12.44%","62","418","471","4181","132","117"
"mongoengine","30.75","80473","7441","9.24%","24","145","393","3199","257","74"
"mopidy","59.15","40381","2905","7.19%","100","211","568","7715","104","60"
"networkx","44.66","147166","35320","24.00%","238","568","5380","5642","271","52"
"nova","64.72","981563","162073","16.51%","849","2593","11874","53102","322","209"
"numba","62.55","20192","2648","13.11%","24","126","691","12788","107","120"
"pandas","42.07","357537","33065","9.24%","160","1197","4320","18495","405","97"
"paramiko","43.79","97387","13421","13.78%","41","257","1191","3230","106","155"
"peewee","31.26","44595","2125","4.76%","19","163","531","3842","102","146"
"pelican","35.95","48096","3765","7.82%","17","117","355","3057","335","46"
"pip","47.52","590140","74472","12.61%","281","1215","74719","6776","385","64"
"pyramid","70.25","85302","8782","10.29%","238","452","1962","11187","258","137"
"ranger","45.74","44487","4222","9.49%","71","109","670","3883","124","47"
"raven-python","87.02","1474","124","8.41%","17","20","66","3582","283","186"
"salt","45.69","3131332","264188","8.43%","1387","7814","18043","101678","338","173"
"scikit-image","53.87","187819","18113","9.64%","190","499","3629","10526","290","51"
"scikit-learn","41.74","396109","55004","13.88%","239","1485","5021","23533","413","91"
"scrapy","64.47","58768","3290","5.59%","160","381","1365","6813","296","82"
"sentry","87.38","10770","958","8.89%","47","66","685","23743","377","334"
"sqlalchemy","32.98","703340","50493","7.17%","158","2040","3645","11789","300","182"
"swift","37.13","523880","74937","14.30%","131","1159","1956","7986","283","90"
"sympy","31.16","2873930","232250","8.08%","636","14206","126716","34283","452","61"
"tornado","37.14","123535","21349","17.28%","42","326","620","3979","299","54"
"web2py","37.78","903496","91844","10.16%","196","1555","73860","7741","169","69"
"werkzeug","34.06","116937","7252","6.20%","37","348","718","3739","286","52"
"youtube-dl","54.16","667075","33658","5.04%","809","1003","6879","16664","401","1015"